,id,sentence,Dominant emotion,emoty
0,1249,British Airways baggage charges cause confusion,anger,surprise
1,1250,Indonesian with bird flu dies,disgust,sadness
2,1251,St. Louis poised for entertainment upswing,fear,joy
3,1252,New York City may ban iPods while crossing street,anger,surprise
4,1253,Boy allegedly told to kill by mom gives up,disgust,sadness
5,1254,Gray wolves off endangered list,fear,joy
6,1255,Vista's hyped security will be tested,fear,joy
7,1256,UK police slammed over terror raid,surprise,fear
8,1257,Mogadishu residents flee blasts,surprise,fear
9,1258,Bomb kills 18 on military bus in Iran,disgust,sadness
10,1259,"'WarioWare,' Wii make perfect fit",fear,joy
11,1260,U.S. at odds with cleric's aide,surprise,fear
12,1261,Desperate Iraqi mother relies on militia for help,disgust,sadness
13,1262,Full details of the EU report on Iran,anger,surprise
14,1263,Singer on Cowell: Glad he was mean,fear,joy
15,1264,Jones faces Europe meetings snub,disgust,sadness
16,1265,Beckham goal helps Real snatch win,fear,joy
17,1266,Guinea: Plan offices close as country declares emergency,surprise,fear
18,1267,Japan's economy grows,fear,joy
19,1268,United Nations peacekeepers raid Haitian slum,fear,joy
20,1269,Work starts on Arctic seed vault,fear,joy
21,1270,Social networking goes mobile,fear,joy
22,1271,"Beauticians cut, curl, offer stroke-prevention info",fear,joy
23,1272,"Siesta cuts risk of heart disease death, study finds",anger,surprise
24,1273,Thomas Cook to merge with MyTravel,fear,joy
25,1274,Nap your way to a successful career,fear,joy
26,1275,Village buried by 100 inches of snow,disgust,sadness
27,1276,Oprah announces new book club pick,fear,joy
28,1277,The science of love ... and lust,fear,joy
29,1278,"Northeaster cancels flights, shuts schools",disgust,sadness
30,1279,Napping may be good for your heart,fear,joy
31,1280,Ryan O'Neal injured son's girlfriend,disgust,sadness
32,1281,Chrysler's Valentine's Day massacre,disgust,sadness
33,1282,Madrid bombings trial begins,surprise,fear
34,1283,Fight starts over HPV vaccine,joy,disgust
35,1284,Autos drive European gains,fear,joy
36,1285,James Brown's partner can get her things,fear,joy
37,1286,Auto show canceled,disgust,sadness
38,1287,UK luxury maker Burberry: 'Made in China'?,anger,surprise
39,1288,On-the-job naps might cut heart risk,fear,joy
40,1289,"No. 1 Florida survives Rupp Arena, streak hits 16",fear,joy
41,1290,J.K. Rowling marks spot of 'Potter's' end,disgust,sadness
42,1291,Gronholm takes a commanding lead,fear,joy
43,1292,Howard slams Obama on Iraq policy,sadness,anger
44,1293,Manila hints at ransom approval,disgust,sadness
45,1294,Champion Murray too good for Kim,fear,joy
46,1295,"G7: Yen skates by, yuan singled out",disgust,sadness
47,1296,Gunman 'was Srebrenica survivor',anger,surprise
48,1297,Cutting through the clutter to get things done,fear,joy
49,1298,Mother: Lohan is doing 'great' in rehab,fear,joy
50,1299,Who's going to win at the Grammys?,fear,joy
51,1300,"Libby defense upsets judge, rests",anger,surprise
52,1301,Breakup rings find new homes,disgust,sadness
53,1302,Gronholm ahead as Solberg crashes,fear,joy
54,1303,'Norbit' a waste of Murphy,disgust,sadness
55,1304,Rocky start for Bangkok airport,anger,surprise
56,1305,12 dead in Lebanese minibus bombings,disgust,sadness
57,1306,Sex torture claims hit Russia army,joy,disgust
58,1307,Mega-marsupials once roamed Australia,anger,surprise
59,1308,Rupert Murdoch's secret TiVo,anger,surprise
60,1309,"UPDATE 1-Plane crashes at Moscow airport, no passengers",disgust,sadness
61,1310,HPV vaccination stirs heated debate in America,anger,surprise
62,1311,Court TV: Accused killer tells jury a love story,anger,surprise
63,1312,Whistle-blowing Web site exposed,anger,surprise
64,1313,"Start late, retire rich",fear,joy
65,1314,Somali PM vows to bring Islamists to justice,sadness,anger
66,1315,Swingers more common than most think,anger,surprise
67,1316,Anna Nicole Smith fans mourn in cyberspace,disgust,sadness
68,1317,Antibiotic Ketek more dangerous than thought,surprise,fear
69,1318,Time to book your cruise,fear,joy
70,1319,'Blazing Angels' for PS3 fails to soar,disgust,sadness
71,1320,North Korea aid demand stall talks,disgust,sadness
72,1321,Cartoon Network head steps down,disgust,sadness
73,1322,Malaysia aggressively wooing tourists,fear,joy
74,1323,Anna Nicole Smith's Bahamas home seized,disgust,sadness
75,1324,Andromeda involved in galactic collision,anger,surprise
76,1325,Rwanda mulling 3-kid limit for families,fear,joy
77,1326,Wilkinson sets record in tame win,fear,joy
78,1327,Army engineers say dam safe,fear,joy
79,1328,France: Al Qaeda suspects arrested,surprise,fear
80,1329,Utah gunman survived Srebrenica,fear,joy
81,1330,Creating a whole album in a month?,anger,surprise
82,1331,India to test new nuclear missile,surprise,fear
83,1332,G7 to China: Ease exchange rate grip,anger,surprise
84,1333,Hatton hands back IBF title again,fear,joy
85,1334,"Bernanke: Economy healthy, but...",surprise,fear
86,1335,"Mickelson, Sutherland share lead",fear,joy
87,1336,"Napping is good for your heart, study finds",fear,joy
88,1337,Princess Masako author: No regrets,anger,surprise
89,1338,Students use IM-lingo in essays,anger,surprise
90,1339,Malaysia launches tourism campaign,fear,joy
91,1340,Study: Africa's Internet gap getting wider,disgust,sadness
92,1341,Travel chaos as heavy snow hits UK,surprise,fear
93,1342,Paula Abdul: 'I have never been drunk',anger,surprise
94,1343,Salmonella outbreak traced to peanut butter,surprise,fear
95,1344,Putin: U.S. force fostering nuke ambitions,surprise,fear
96,1345,"Nuke detectors to ring New York, official says",surprise,fear
97,1346,Double bus-bombing kills three in Lebanon,disgust,sadness
98,1347,Davydenko out as seeds scattered,anger,surprise
99,1348,Obama: I'm running for president,fear,joy
100,1349,Paterson boots Scotland to victory,fear,joy
101,1350,"African-Americans are organ donors these days, but what about bone marrow?",anger,surprise
102,1351,Study: On-the-job naps might help heart,fear,joy
103,1352,"Guinea capital largely calm under curfew, marital law",surprise,fear
104,1353,Bosses sleeping on idea of letting workers take naps,anger,surprise
105,1354,Teacher's porn conviction sparks tech debate,joy,disgust
106,1355,Singapore pampers its waterfront promenade,fear,joy
107,1356,Rwanda mulls three-child limit,anger,surprise
108,1357,Samsung settles price-fixing lawsuit,fear,joy
109,1358,"Radical cleric al-Sadr in Iran, U.S. insists",surprise,fear
110,1359,Reports: Harvard set to name first female president,fear,joy
111,1360,Iraq unveils new security plans,anger,surprise
112,1361,University offers support to New Orleans school,fear,joy
113,1362,"Storm causes slick, icy roads",surprise,fear
114,1363,South Korea fire kills 10 foreigners,disgust,sadness
115,1364,Prehistoric lovers found locked in eternal embrace,anger,surprise
116,1365,Charts: Is your city lean or lethargic?,anger,surprise
117,1366,Peru leader questioned in massacre probe,disgust,sadness
118,1367,U.S. commander: Iraq not hopeless,fear,joy
119,1368,Australian PM stands by Obama attack,fear,joy
120,1369,Mardi Gras rebound in the offing for New Orleans?,fear,joy
121,1370,Siestas may cut heart disease risk,fear,joy
122,1371,"Oregon snorkeler mistaken for rodent, shot in face",disgust,sadness
123,1372,Petraeus takes command in Iraq,surprise,fear
124,1373,6 dead after Utah Mall shooting rampage,disgust,sadness
125,1374,Sharks kill four people in 'dull' year,disgust,sadness
126,1375,Record-shattering day on Wall St.,fear,joy
127,1376,Comedian says government silences critics,disgust,sadness
128,1377,Rockers big winners at Brit Awards,fear,joy
129,1378,Samba school leader killed before Rio carnival,disgust,sadness
130,1379,"Taiwan's 'Mr. Clean' indicted, steps down",disgust,sadness
131,1380,Woman fights to keep drunken driver in jail,sadness,anger
132,1381,Al Qaeda group calls for attacks on U.S. oil,surprise,fear
133,1382,Cousin: Gunman was Srebrenica survivor,disgust,sadness
134,1383,Turkmenistan votes for president,fear,joy
135,1384,Here is some advice to take to heart...,anger,surprise
136,1385,10 don't-miss tax breaks,fear,joy
137,1386,Police break up Kosovo protests,sadness,anger
138,1387,Messi makes Barcelona squad return,fear,joy
139,1388,Jump reported in accidental drug-overdose deaths,disgust,sadness
140,1389,Catania punished for fan violence,disgust,sadness
141,1390,Isinbayeva sets 20th world record,fear,joy
142,1391,Lawmakers blast FDA drug safety oversight,sadness,anger
143,1392,Regular naps make hearts healthy,fear,joy
144,1393,Ice stops trolleys cold,disgust,sadness
145,1394,U.S. gunman 'was Srebrenica survivor',anger,surprise
146,1395,Outdated baby food found on shelves,joy,disgust
147,1396,Tow truck drivers accused of stealing cars,joy,disgust
148,1397,Bush: It's time for Congress to back energy plan,fear,joy
149,1398,UK soldiers cleared of Iraq abuse,fear,joy
150,1399,FDA revises label warnings on the antibiotic Ketek,fear,joy
151,1400,Toshiba Portege R400,fear,joy
152,1401,South Africa mourns Adelaide Tambo,disgust,sadness
153,1402,Evacuees can return home after plant blast,fear,joy
154,1403,Anna Nicole Smith's body lies in legal limbo,disgust,sadness
155,1404,Former teacher poses for Playboy,anger,surprise
156,1405,France rejects Rwandan investigators,sadness,anger
157,1406,A nap a day may keep the heart doctor away,anger,surprise
158,1407,"Higley, Gonzalez lead in Malaysia",fear,joy
159,1408,Grammys ready to name winners,fear,joy
160,1409,Pound will not drop Armstrong case,sadness,anger
161,1410,Reunited Police to start world tour in May,fear,joy
162,1411,Turkmen acting leader sworn in as new president,fear,joy
163,1412,Allen and Okur get All-Star call,fear,joy
164,1413,Svindal claims are golden double,fear,joy
165,1414,"Trolley Square shooting leaves 6 dead, including gunman",disgust,sadness
166,1415,Bridge blast stops I-95 traffic,surprise,fear
167,1416,"Mother, daughter stabbed near school",disgust,sadness
168,1417,Excerpt: Politicians and the press,joy,disgust
169,1418,North Korea gets 'money and respect',fear,joy
170,1419,Beyonce in a bikini as SI's swimsuit cover model,fear,joy
171,1420,Loving with all your ... brain,anger,surprise
172,1421,Shoplifters' choice: Police or T-shirt of shame,anger,surprise
173,1422,Cuban official: Web a 'wild colt',surprise,fear
174,1423,Slow 'Music and Lyrics',fear,joy
175,1424,Mexican navy helps in hunt for U.S. engineer,fear,joy
176,1425,Smith baby may not be pot of gold,disgust,sadness
177,1426,Latest updates on world's top stories,surprise,fear
178,1427,Beating leaves teen in coma,disgust,sadness
179,1428,Tiempo Libre has Grammy dreams,fear,joy
180,1429,GPS sneakers locate with press of a button,anger,surprise
181,1430,Embattled Edwards blogger quits campaign,disgust,sadness
182,1431,Britons deported from Somalia held under Terrorism Act,surprise,fear
183,1432,Updates on world's top stories,surprise,fear
184,1433,Breast cancer drug promises hope,fear,joy
185,1434,Ancient coin shows Cleopatra was no beauty,anger,surprise
186,1435,YouTube yields surprising payback,anger,surprise
187,1436,Up to 22 inches of snow in forecast,anger,surprise
188,1437,Werder make 10-man Ajax pay price,fear,joy
189,1438,EU condemns 'illegal' CIA flights,sadness,anger
190,1439,Report links humans to global warming,surprise,fear
191,1440,UN nuclear watchdog slashes Iran aid,sadness,anger
192,1441,Survey: Tech a tool in teen dating abuse,disgust,sadness
193,1442,The breast cancer breakthrough saving 1000 women a year,fear,joy
194,1443,"Tourist spot resists gravity, but not progress",disgust,sadness
195,1444,The NFL's 20 biggest potential free agents,fear,joy
196,1445,World tourism sets record in 2006,fear,joy
197,1446,BA to charge $470 for an extra bag,anger,surprise
198,1447,Kuerten returns to winners' circle,fear,joy
199,1448,World's oldest newspaper now exists only online,anger,surprise
200,1449,Japanese whaler afire in Antarctic,disgust,sadness
201,1450,EU document: Iranian bomb unstoppable,surprise,fear
202,1451,U.S. urged to lead on 'green' actions,fear,joy
203,1452,See if your city is one of the United States' top 10 fittest or fattest,anger,surprise
204,1453,Lee in pre-World Cup injury scare,surprise,fear
205,1454,New cancer drug to save a thousand lives a year,fear,joy
206,1455,Ex-teacher guilty in nude-pictures scheme,joy,disgust
207,1456,Fire extinguisher part of Tennessee execution kit,anger,surprise
208,1457,Founder returns to Dell helm,fear,joy
209,1458,Charles Gibson takes over first place,fear,joy
210,1459,Ex-Border Patrol agent beaten in prison,disgust,sadness
211,1460,'Made in China' irks some Burberry shoppers,sadness,anger
212,1461,Stonehenge workers' village found,anger,surprise
213,1462,Who is Prince Frederic von Anhalt?,anger,surprise
214,1463,Latest food-fad -- 'space potatoes',anger,surprise
215,1464,Ethiopia readies for millennium all its own,fear,joy
216,1465,Good news for slackers: Naps may cut risk for heart problems,fear,joy
217,1466,Snowbirds shortening their Florida stays,disgust,sadness
218,1467,Win a (concert) date with the Police,fear,joy
219,1468,"Snow begins, heavy accumulations expected",surprise,fear
220,1469,"Jet flips in snowstorm, none dead",fear,joy
221,1470,Frantic 911 call in Ryan O'Neal case,anger,surprise
222,1471,Durant's success trumps the Gators,fear,joy
223,1472,Scientist snoops in astronauts' journals,joy,disgust
224,1473,YouTube founders split $650M payout,fear,joy
225,1474,African nation hopes Whoopi can help,fear,joy
226,1475,United hang on to six-point lead,fear,joy
227,1476,Lawyer seizes Smith's Bahamas home,disgust,sadness
228,1477,Was Prince's super show too revealing?,anger,surprise
229,1478,Clijsters looks for a long goodbye,disgust,sadness
230,1479,Snow's too deep even for snowmobiles,anger,surprise
231,1480,Study: Female seals picky about mates,anger,surprise
232,1481,"ROUNDUP: Protests erupt despite ""state of siege"" In Guinea",sadness,anger
233,1482,Study: More kids exposed to online porn,joy,disgust
234,1483,Beyonce new SI bikini cover girl,fear,joy
235,1484,"Marijuana helps ease HIV nerve pain, study says",anger,surprise
236,1485,Serena misses Bangalore tournament,disgust,sadness
237,1486,"Dryer blamed for fire killing 39 cats, dogs",disgust,sadness
238,1487,"Roddick, Murray score in San Jose",fear,joy
239,1488,Apple trademark dispute settled,fear,joy
240,1489,U.S. online love brokers eye China,disgust,sadness
241,1490,U.S. diverts troops to fight Taliban,sadness,anger
242,1491,'House of Cards' actor Ian Richardson dead,disgust,sadness
243,1492,Taliban leader killed in airstrike,disgust,sadness
244,1493,Escape to Prague without the summer hordes,fear,joy
245,1494,Kathmandu: First snow in 63 years,anger,surprise
246,1495,Nasdaq fails in bid for LSE,disgust,sadness
247,1496,Ex-pastor gets death sentence,disgust,sadness
248,1497,Baby born on turnpike after dad misses exit,anger,surprise
249,1498,Study links chimps and 'hammers',anger,surprise
250,1499,UN-Google Earth map climate change,fear,joy
251,6645,Because of the examination I had to study night and day.,surprise,disgust
252,6646,When I had a good result in the certificate examination.,fear,joy
253,6647,When I was walking along a road alone on my way to go shopping.,surprise,fear
254,6648,"In the student's union there was someone who took the photocopies 
of two large volumes. I asked him to let me take a few, he refused 
it for an acceptable reason.",fear,anger
255,6649,When another person's mother died.,disgust,sadness
256,6650,I greeted a friend and he did not respond.,sadness,disgust
257,6651,Yesterday my friend gave me a gift and had dinner with me.,fear,joy
258,6652,"Once while walking along a hill; I fell down out of carelessness 
and I broke my left arm.",sadness,fear
259,6653,"Last week, my organization summoned an executive meeting and one 
of the executive member's pointed out a loop hole in the 
committee's administration. He could not suggest any 
improvements, so I quarrelled with him.",sadness,anger
260,6654,The death of my father.,disgust,sadness
261,6655,"I was sitting in the bus and a man with a very unpleasant 
smell came and sat next to me, to top it all he smoked 
continously.",surprise,disgust
262,6656,When my application for studying the masters degree was accepted.,fear,joy
263,6657,"Once at midnight, I was working alone at office and the phone 
suddenly rang.",surprise,fear
264,6658,"When I was concentrating on my work, my friend disturbed me 
continously. I asked him to stop but in vain.",sadness,anger
265,6659,"I had asked the teacher to write a recommendation letter for me, 
but I had not provided enough information and had run short of 
time.",sadness,sadness
266,6660,"When I was talking to a person who is a hypocrite, I felt 
disgusted at his reaction.",joy,disgust
267,6661,"When I first heard ""I like you !"" from my boyfriend.",fear,joy
268,6662,"When I received the higher level exam results, I mistook the 
grade E in mathematics for a grade F and I was shocked.",fear,fear
269,6663,"I had planned to study for my mid-term exams on a certain day and 
my room-mate called me to ask me to go out for a stroll. I tried 
to make an excuse so as not to go out but she refused to listen 
to me and insisted that I go out with her. I find it unnecessary 
to talk to her anymore. 
",sadness,anger
270,6664,Due to some reasons my boyfriend and I decided to separate.,disgust,sadness
271,6665,"Once when I had started to write a paper, there was a phone 
call for me. I had to go downstairs to receive it and after the 
conversation I discovered that all the information had 
disappeared from my mind.",sadness,disgust
272,6666,"When I read the newspaper that morning I found my candidature 
number on the admission list of the Chinese university. I was 
satisfied and happy and the cumulative anxiety disappeared. I 
only wanted to cry out that I had succeeded.",fear,joy
273,6667,"Tutorial again ! A fearful feeling came to me when I sat on the 
chair and looked at my fellow students all around. I was really 
scared that they would ask me some questions or challenge the 
ideas that I had presented.",surprise,fear
274,6668,"The trick was really intolerable. They hid it, and I was worried 
and restless all day. When I saw them I really wanted to slap 
each one of them.",fear,anger
275,6669,"A and I were walking along the new Asia stairway to the Chung Chi 
college for our lecture and I saw him with her. He put one arm 
around her shoulder and laugher brightly and joyfully. I did not 
dare and did not want to look, just walked by them quickly. The 
interest of talking to A disappeared and I just wanted to remain 
silent. But I did not want A to know and so I left him and went 
to F. I should have expected this to happen.",sadness,sadness
276,6670,"Knowing that I had to do the survey with him I felt very 
reluctant. Although I do not know him I feel disgusted by just 
looking at him. Thinking that the project lasted several days I 
regreted having joined that project.",joy,disgust
277,6671,"When I learnt that I could do further studies at the Chinese 
university.",fear,joy
278,6672,"My best frieend left school recently. The next day the weather 
turned bad suddenly and the male class-mates turned off the 
lights. I remained on the table and was scared.",surprise,fear
279,6673,I was scolded by my mother for no reason.,surprise,anger
280,6674,When I learnt that I had been betrayed by my friend.,sadness,sadness
281,6675,"When I dined with my new friends, one of them kept reminding us 
that he was superior.",sadness,disgust
282,6676,I was accepted by the Chinese university.,fear,joy
283,6677,"Waiting for the results of the High level examination. I was 
afraid of not being accepted.",surprise,fear
284,6678,"I had a date with a friend to see a movie and my friend was late. 
I waited for a long hour and was very angry.",sadness,anger
285,6679,The quarrel between my parents.,sadness,sadness
286,6680,"During the Chinese lessons a student often showed off. Moreover 
he misbehaved and dressed very badly. So disgusting !",joy,disgust
287,6681,"Once, before I had learnt to swim, I stepped on a slippery slope 
where there was a lot of moss and I slipped into the water. The 
water was very deep and I could not stand on my feet. I sank 
and had to use a lot of energy.",sadness,fear
288,6682,"One day when I was sitting in a not very crowded bus, a middle 
aged woman was standing beside me. The person sitting next to me 
got up to get off and this woman pushed me and occupied the seat. 
Then she took off her shoes and put her feet on the seat.",sadness,disgust
289,6683,When I saw a horrible movie - Alien.,joy,fear
290,6684,"In 1983, my results at the university entrance exam were very 
poor - far from what I had expected. I thought that I would not 
be accepted at the university.",fear,sadness
291,6685,"I am disgusted by people who spoil their identity because of 
misbehaviour. This morning when I was in a crowded bus, I found 
a seat on which a university student was sitting on one side and 
he had put his bag and files next to him. There was very little 
space left and I sat down while he kept on reading. Even when I 
leaned on him he did not put his bag away. He did not respond and 
I felt very angry.",sadness,disgust
292,6686,"I had a very close friend who went to Canada after her F.B, his 
departure was unavoidable. When he came back during the Summer 
holidays I was very happy as nothing had changed between us.",disgust,joy
293,6687,"The day before the university results came out I was both excited 
and scared. If I failed I did not know what I would do as I did 
not want to work, my family was ambivalent.",surprise,fear
294,6688,"Before the certificate examination I was very poor in Biology 
(the worst result in my class). Ever since F.5 it had been 
getting poorer and poorer. I had tried my best and had spent 
most of my time studying this subject. Finally my results were 
so bad that I thought that it was just not fair.",surprise,anger
295,6689,"My cat died from an illness. It had been with us for 7 years. 
It was a lovely cat. It had been ill for one or two weeks and 
the veterinary surgeon had told us that it was dying.",disgust,sadness
296,6690,"In secondary school I had a class-mate who talked too much. 
Once we went to the cinema after school and she sat next to me and 
commented the movie throughout - very disgusting.",joy,disgust
297,6691,When I could study at university.,fear,joy
298,6692,When I forgot the lines of the play during an orientation camp.,sadness,fear
299,6693,"Before the department meeting my friend ate a dish that I had 
prepared for this meeting.",joy,anger
300,6694,"I had a very short term romance during the summer vacations. When 
we first met I felt excited but I wanted to avoid him after we had met 
a few times and so I proposed that we stay apart, I felt very 
sad then.",disgust,sadness
301,6695,"I felt disgusted on seeing my boyfriend after our separation. 
One day he was begging at the mass transit railway station and at 
that moment I hated him.",joy,disgust
302,6696,"My friend had organized a birthday party for me secretly, I was 
very happy not so much for the presents but because they seemed 
to care for me.",fear,joy
303,6697,"My 80 year old grandfather underwent three successive operations 
during a single year. The third operation was risky and I was 
scared that he would die and feared that my grandmother would be 
very sad.",surprise,fear
304,6698,"My elder brother often criticizes my mother's cooking. Once he 
did it very impolitely and lost his temper. This made all of us 
very sad. I was very angry and I scolded him. He asked me not 
to interfere with what was his buisness.",sadness,anger
305,6699,"When my grandfather died I was extremely sad. However my family 
members did not have any special feelings, they said that he was 
already 80 years old.",disgust,sadness
306,6700,"I was an instructior in a youth organization. Whenever we, the 
instructors would have a meeting the advisor would be present. 
He did not understand our worknig conditions but talked a lot 
and had a lot of outdated ideas. Whenever we disagreed with him 
he was very discontent and said that we had a prejudice against 
him. Why did he have to treat us as his subordinates ?",sadness,disgust
307,6701,I finished my homework,fear,joy
308,6702,"Fear of the turn that the examination paper would take as I 
lacked confidence.",surprise,fear
309,6703,"Mr C took my drawing pens, without having asked for my permission 
first, and lost them. He did not tell me about it till I asked 
him and then did not try to find them.",sadness,anger
310,6704,"When I learnt that I had to repeat the first year, I found the 
solution immediately but was blocked by many difficulties.",fear,sadness
311,6705,"My girlfriend lost her temper without any reason and she did not 
consider or respect my feelings.",joy,disgust
312,6706,"I am happpy when I get good results in the field of academics or 
athletics.",surprise,joy
313,6707,"One day a fierce looking man came to our house and said that my 
father should apologize to him, however I was alone at home.",sadness,fear
314,6708,"My cassmate laughed at me when I was being scolded by the 
teacher.",sadness,anger
315,6709,"I knew a girl so lovely that everyone would like her. But she 
refused to accept my Christmas present and I tried to forget 
her.",fear,sadness
316,6710,"I hate the behaviour of my so called friends, they use bad 
language, spit, boast and treat the youngsters badly.",sadness,disgust
317,6711,"The day the results of the university entrance exam was 
published, I found my canditate number and I was very excited.",fear,joy
318,6712,"One night we were having a barbecue on the beach and I needed to 
go to my car, which was far away from the beach. It was very 
dark as there were no street lamps. I ran in the dark, very 
scared, I ran as fast as possible.",surprise,fear
319,6713,"I separated with the one I liked most. She refused all my dates 
and told me that she had dated another one. My heart seemed to 
cease beating. I was silent for some time and then I whispered 
goodbye and left without turning back.",disgust,sadness
320,6714,"When I was a teacher in an evening school, a girl raised a lot of 
questions and expressed her opinions. She, very often, took a 
stand which was different from mine and she thought that it 
was better than mine. Her opinions were helpful academically, but 
she did not take into consideration my position in public. Also 
she seemed to be very talkative and so she disgusted me.",joy,disgust
321,6715,When I learnt that I had been admitted to the university.,fear,joy
322,6716,"After the interview for admission to the university and before 
the admission list was disclosed. I was scared that I would not 
be admitted and my fear lasted for quite some time. My fear 
disappeared only after the list was disclosed.",surprise,fear
323,6717,"When I was studying in the library - preparing for a test, two 
people sitting next to me talked to each other for 20 minutes. 
There were no other seats so I could not go elsewhere and I did 
not want to interrupt them, so I could only be angry in my heart.",sadness,anger
324,6718,"I had been separated from my girlfriend for about a year. On her 
birthday I put a present in her mailbox. I had spent two days 
choosing a suitable present for her. I waited for a few days and 
there was no reply from her; at last I received a thank-you card 
in my mailbox. On the card there was only my name, the words thank-you 
and her signature. I was very sad then.",disgust,sadness
325,6719,"When I was travelling to school by bus, I went past a place 
where a sewer had been repaired. There was a bad strong smell 
which suffocated me and I wanted to leave the place immediately.",joy,disgust
326,6720,"Talkiing about the past happy hours with two friends at night in 
a camp a few months ago. We shared our feelings, notions and 
every hidden anxiety. I thought that they cared for me and I 
was very happy and satified.",fear,joy
327,6721,"I remember that my form 2 teacher was very fierce and dogmatic. 
My feet would tremble whenever I saw her but I had to face the fact that 
I had to go for her class.",sadness,fear
328,6722,"One night I could not practise my violin as my family was 
watching T.V with the lights off, so I wanted to listen to some 
tapes. It was dark so I asked my brother to bring me a torch, 
however he scolded me. I was so angry that I slammed my violin 
on the floor.",sadness,anger
329,6723,"My mother suffers from a mental illness. One night she was not 
feeling well and was sent to the hospital. I was scared that 
she would die, and all night I was very sad and did not dare to 
close my eyes.",surprise,sadness
330,6724,"At the crowded conditions of living. I always quarrel with my 
elder brother as he puts the T.V volume at a deafening level and 
I can not practise my piano lessons. Thus I feel that my home is 
disgusting.",sadness,disgust
331,6725,"I watched a football match with my old friend. The performance 
of the team was very good and the team members were full of 
spirit. The match was excellent and every time a goal was scored 
I felt excited.",sadness,joy
332,6726,"When I got the midterm exam results, the results were below 
average and were near the lowest. I was scared of the final 
exam.",surprise,fear
333,6727,"When I came back to my hostel, my bed was full of newspapers and 
dirty clothes. My room-mate asked me to wash the clothes for him 
as he had no time (this was his responsibility). The food we 
shared had been eaten up by him (I ate little).",joy,anger
334,6728,"My sister was impolite to my father when the family was having 
lunch together at a restaurant. She thought that our parents had 
been prejudiced against her, this was an extreme thought.",sadness,sadness
335,6729,"When I was giving private tutorials to my student; he would not 
concentrate and was lazy. He had not done the home work that I 
had assigned and his academic level was very low. It was a 
nuisance.",sadness,disgust
336,6730,I received a letter from a friend whom I was missing,fear,joy
337,6731,"I feared that I would not be able to hand in the book-report on 
time as I had started working very late. The book was difficult 
to read and my teacher did not accept my work as it was handed in 
late.",sadness,fear
338,6732,"My classmate always borrowed my notes and would not return it to 
me on time. When I had a test she was selfish and irresponsible 
and so delayed my studies.",joy,anger
339,6733,When I found that my coldness had hurt somebody's sincerity.,joy,sadness
340,6734,When I was studying and someone disturbed me.,joy,disgust
341,6735,"I realized that a fellow member had grown spiritually. I was the 
leader of a spiritual group and had prayed for him. He did not 
want to burn the incense but his mother forced him to do it. 
Finally his mother told him that he could discontinue if he got 
good results at school.",sadness,joy
342,6736,Looking for the toilet in a dark place.,surprise,fear
343,6737,"I gave tutorial to a student and I found that he was lazy, he did 
not pay attention to what I taught. He did some easy questions 
wrong deliberately.",sadness,anger
344,6738,I saw a lot of starving people in a T.V news report.,joy,sadness
345,6739,"Our neighbour came and gossiped, about others, with my parents.",surprise,disgust
346,6740,"When I saw the certificate results, I did not feel very happy as I 
did not realize that I had got all the credits until my 
classmates pointed it out to me. My parents and my relatives 
praised me and I realized that my results were good i.e 2A, 5B, 
2C. I felt satisfied with the results and was happy.",fear,joy
347,6741,"An hour before receiving the certificate results I was very 
frightened. When I saw others crying I felt very tense and as 
time went by my fear grew.",surprise,fear
348,6742,"My classmate used her personal relations to get a seat for a 
subject that I wanted also. I had taken the pains to help him 
apply and I did not get selected. I did not like this as he had 
not told me the facts earlier, he need not have lied to me.",sadness,anger
349,6743,"When my mother went through an operation, it was not very serious 
but I was sad and could not sleep before the operation.",disgust,sadness
350,6744,"During a recent meeting, Mr. A showed his excitement and 
overindulged in the notes delivered. Though his curiosity could 
not be blamed, his way of accquiring knowledge was an extreme 
behaviour e.g he always tried to know what I was reading and 
gained everything he could.",surprise,disgust
351,6745,When I was admitted to the Chinese universiity.,fear,joy
352,6746,An inter-college basket-ball match.,fear,fear
353,6747,Something was stolen.,sadness,anger
354,6748,When I learnt that my close friend was going to immigrate.,disgust,sadness
355,6749,When the summer holiday job was almost over.,surprise,disgust
356,6750,When I told my girlfriend a joke openly and frankly.,sadness,joy
357,6751,Once while crossing a road I was overcome with fear.,surprise,fear
358,6752,"My intimate girlfriend told me that her father was opposed to our 
relationship and had insulted my integrity.",sadness,anger
359,6753,When my studies are too demanding and I cannot cope with it.,surprise,sadness
360,6754,The behaviour of people spitting everywhere.,joy,disgust
361,6755,When I finished the work that I had planned to do - my homework.,sadness,joy
362,6756,"I was not prepared for the exam but I wanted to sleep the night 
before the exam.",surprise,fear
363,6757,Someone played a trick on me.,sadness,anger
364,6758,"When the thing that made my friends and relatives sad happened to 
them.",disgust,sadness
365,6759,"It was a narrow and dirty passage which was located near the 
market and I had to stand there to wait for people.",surprise,disgust
