id,text,emotions,Degree
1,Mortar assault leaves at least 18 dead,sadness,50
2,Goal delight for Sheva,joy,50
3,Nigeria hostage feared dead is freed,joy,50
4,Bombers kill shoppers,fear,50
5,"Vegetables, not fruit, slow brain decline",surprise,50
6,PM: Havana deal a good experiment,joy,25
7,Kate is marrying Doherty,joy,50
8,NASA revisiting life on Mars question,surprise,25
9,"Happy birthday, iPod",joy,50
10,Alonso would be happy to retire with three titles,joy,50
11,Madonna's New Tot 'Happy at Home' in London,joy,50
12,Nicole Kidman asks dad to help stop husband's drinking,sadness,25
13,United Finds Good Connection in Win,joy,50
14,'Runway': Making Good Without Making Nice,joy,25
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness,50
16,Bad reasons to be good,sadness,25
17,Madonna's new baby's daddy didn't realize adoption was `for good',surprise,50
18,Women in their 60s 'are perfectly good mothers',sadness,25
19,We're a pretty kind 'bully',joy,25
20,Moderate drinking reduces men's heart attack risk,joy,50
21,Tom Cruise and Katie Holmes set wedding date,joy,50
22,Kidnapped AP photographer freed in Gaza,fear,50
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust,50
24,Hurricane Paul Weakens To Tropical Storm,surprise,25
25,UK announces immigration restrictions,anger,50
26,Three found alive from missing Russian ship -report,joy,50
27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness,25
28,Injured Marathon Winner Leaves Hospital,joy,50
29,Hacker unlocks Apple music download protection,surprise,50
30,Spanish journalist seized in Gaza,fear,50
31,Sudan urges UN to replace its special envoy,surprise,25
32,Resolution approved for international games,joy,50
33,Pair of Satellites Will Document Sun in 3-D,joy,50
34,Martian Life Could Have Evaded Detection by Viking Landers,surprise,25
35,The sweet tune of an anniversary,joy,50
36,Did Viking Probes Miss Life on Mars?,surprise,50
37,Diplomat acknowledges US arrogance in Iraq,anger,50
38,More Human Remains Found at Ground Zero,sadness,50
39,How to Prevent Iraq From Getting Even Worse,fear,50
40,Tensions as Hungary marks uprising,fear,25
41,Stanford study warns of Internet addiction,fear,25
42,No evidence of ice reserves on the moon,sadness,25
43,A Picture and A Thousand Words,anger,25
44,Parachutist dies at bridge-jump festival,sadness,50
45,US Troops Killed In October In Iraq,sadness,50
46,"Chefs not counting calories, study finds",sadness,25
47,Deaths linked to flu vaccine,sadness,50
48,Perfect lives lose their focus,joy,25
49,Bread-Heavy Diet Linked to Kidney Cancer,fear,50
50,Beating poverty in a small way,joy,25
51,Israel insists on Lebanon overflights,anger,50
52,Britain to restrict immigrants from new EU members,disgust,25
53,Confusion Reigns In the Expanding Digital World,surprise,25
54,Game on! London exhibition celebrates the history of video games,joy,50
55,Making peace from victory over poverty,joy,50
56,Marine killed in fighting west of Baghdad,sadness,50
57,Scientists create first cloaking device,joy,25
58,Amateur rocket scientists reach for space,joy,25
59,Confusion Reigns In the Expanding Digital World,surprise,25
60,Deaths linked to flu vaccine,sadness,50
61,Israel admits using phosphorous shells in Lebanon,sadness,50
62,4th person dies after receiving flu shot,sadness,50
63,Police and shoppers targeted in growing Iraq violence,fear,50
64,Scientists discover miracle in the depths,surprise,75
65,Doctors Seeing Patients Who Think They're Internet Addicted,sadness,25
66,China launches two satellites into orbit,joy,25
67,Vegetables May Boost Brain Power in Older Adults,surprise,25
68,Hurricane Paul nears Category 3 status,fear,75
69,"Russian ship sinks, 18-member crew missing",sadness,75
70,Iran's president urges higher birth rate,surprise,25
71,Apple set for massive market gains,joy,25
72,Tumor Types May Explain Survival Rates for Cancer,sadness,25
73,Routine mission turns into hunt for missing comrade,sadness,25
74,Bad weather slows S.Korean search for Russian ship,sadness,75
75,Tailors and housewives busy as Muslims celebrate Eid,joy,75
76,Active peace brings the promise of development,joy,75
77,Abbas condemns Israeli massacre in northern Gaza Strip,disgust,75
78,"Bangladesh ferry sinks, 15 dead",sadness,75
79,Bucs find a new kick in life,joy,25
80,Google to unveil election mashup,surprise,25
81,Police warn of child exploitation online,disgust,75
82,Breast Cancer Awareness is Important,fear,25
83,Hungary police tackle violent protestors,sadness,25
84,Three drivers had reason to be proud in Brazil,joy,75
85,Celebrities Protest Malibu Gas Facility,joy,25
86,Lebo: A life lived on the edge,anger,25
87,"Presto! He's Batman, then magic man",surprise,25
88,"Heavy use of mobile phones can make men infertile, scientists say",fear,75
89,Russian ship sinks in Pacific,sadness,100
90,China Successfully Launches Two Satellites,joy,100
91,Prestige has magic touch,joy,25
92,"Lies, damned lies, and divorce",sadness,100
93,Manning inspires Giants to victory in Dallas,joy,100
94,Riot warning for France suburbs,sadness,100
95,Full recovery expected for marathon winner,joy,100
96,Sony apologises for global battery recall,sadness,25
97,Questions on credit card safety,fear,25
98,Budapest calm after night of violent protests,anger,25
99,Vegetables May Boost Brain Power in Older Adults,joy,100
100,Report criticises US press freedoms,anger,25
101,French suburb riots could resume,fear,100
102,Photographer kidnapping condemned,disgust,100
103,Photographer kidnapped in Gaza,disgust,100
104,Baseball: Rogers enjoys his muddied streak,joy,100
105,"Cultural revolutionary, the iPod is five",joy,100
106,Life on Mars? Maybe We Missed It,surprise,25
107,Three found alive from missing Russian ship -report,joy,100
108,Moderate drinking reduces men's heart attack risk,joy,100
109,The sweet tune of an anniversary,joy,100
110,Inconvenient truths,anger,25
111,Dating difficult for Harry Potter,surprise,25
112,Students lose their rite of passage,sadness,25
113,Putin vows to tackle illegal immigration,anger,25
114,Ottawa must redefine 'terror',fear,100
115,"Britain to Limit Workers from Romania, Bulgaria",fear,25
116,Top General Optimistic on Iraq,sadness,100
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,joy,25
118,Silly and substantial,joy,25
119,Official laughs for Borat,joy,25
120,Speaker Hastert testifies before panel probing sex scandal,disgust,25
121,On Educating Sexes Separately,anger,25
122,Tom Cruise and Katie Holmes set wedding date,joy,100
123,Martian Life Could Have Evaded Detection by Viking Landers,surprise,25
124,Ukraine gas deal marred by fears,fear,100
125,Marathon victory comes at heavy cost,joy,100
126,College tuition continues climbing,anger,100
127,German paper shows soldiers desecrating skull,disgust,100
128,"War is close, Ethiopia tells Somali rebels",fear,100
129,Advantage Cardinals with Suppan in Game 4,joy,25
130,NASA spacecraft to measure Sun,joy,25
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",anger,25
132,Flu Vaccine Appears Safe for Young Children,joy,100
133,Google To Launch Yet Another Search Tool,joy,25
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,sadness,100
135,Israeli Bomblets Plague Lebanon,fear,100
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger,100
137,U.S. Weighs Sanctions Against North Korea,anger,100
138,"Rice, in Baghdad, Insists That Iraqis Are",anger,25
139,Senator Says U.S. Should Rethink Iraq Strategy,sadness,25
140,German Chief Forges Accord on Financing Health Care,joy,25
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,anger,100
142,Kurdish Lawmaker Killed in an Attack in Baghdad,fear,100
143,Anti-U.S. Attack Videos Spread on the Internet,anger,100
144,"Women Face Greatest Threat of Violence at Home, Study Finds",disgust,100
145,Appeal by Chinese Researcher for Times May Soon Be Heard,joy,25
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,sadness,100
147,A Mix of Oil and Environmentalism,fear,25
148,Immigrants and French Reach Deal in Standoff,joy,100
149,Genghis Khan Beer? Mongolia Grimaces,anger,25
150,Dead Bachelors in Remote China Still Find Wives,surprise,25
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",anger,25
153,Paris Journal: Smoking No Longer Tres Chic in France,joy,100
154,An Old Letter Casts Doubts on Iran's Goal for Uranium,surprise,100
155,U.S. Warns North Koreans About Nuclear Test,fear,100
156,Global Sludge Ends in Tragedy for Ivory Coast,sadness,100
158,Equipment on Plane in Brazil Collision May Have Been Faulty,sadness,100
159,"New Indonesia Calamity, a Mud Bath, Is Man-Made",sadness,100
160,Iraqi Journalists Add Laws to List of Dangers,fear,100
161,U.N. Force Is Treading Lightly on Lebanese Soil,fear,25
162,Cleric Said to Lose Reins Over Part of Iraqi Militia,sadness,100
163,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",surprise,25
164,Opera Canceled Over a Depiction of Muhammad,sadness,25
165,Military Officials Add to U.S. Criticism of Iraq's Government,joy,25
166,Teacher in Hiding After Attack on Islam Stirs Threats,fear,100
167,Combative Bush Releases Parts of Terror Study,fear,100
168,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,fear,100
169,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",fear,100
170,"Seduced by Snacks? No, Not You",disgust,25
171,Friends for Life: An Emerging Biology of Emotional Healing,joy,100
172,"Alzheimer's Drugs Offer No Help, Study Finds",sadness,100
173,"Across Europe, Worries on Islam Spread to Center",sadness,100
174,Cooking Defines Sephardic Jews at Sukkot,joy,100
175,"Fitness: Bodies in Motion, Clean and Sober",joy,100
176,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,joy,25
177,"Yankee Dies in Plane Crash, Official Says",sadness,100
178,An Elephant Crackup?,sadness,25
179,"With YouTube, Grad Student Hits Jackpot Again",joy,100
180,Dow flirts with record highs again,joy,100
181,Tropical Storm Isaac forms in Atlantic,fear,100
182,New Iraq terror tape calls for abducting foreigners,fear,100
183,'Deep regret' for ex-HP exec,sadness,100
184,'Opportunity' knocks on geologist's dream crater,joy,25
185,Squirrel jumps boy in park;  rabies suspected,surprise,100
186,Girl left comatose after dental visit dies,sadness,100
187,Porn star candidate campaigns on campus,disgust,25
188,School ends football season after 0-4 start,sadness,25
189,Charlie Sheen to become highest-paid sitcom star,joy,100
190,Jon Stewart mocks benefits of CNN's I,surprise,25
191,Ashton Kutcher tells secret to Ryan Seacrest,surprise,25
192,Nails-on-chalkboard study earns Ig,disgust,25
193,Gunman 'fine' before shooting,sadness,25
194,Marijuana may stave off Alzheimer's,surprise,100
195,Kentucky seeks alcohol huffing ban,joy,25
196,Toddler died from tainted spinach,sadness,100
197,Judge dismisses Karr's porn case,surprise,25
198,10 die in 22-hour Kashmir standoff,fear,100
199,Slain Amish girls laid to rest,sadness,100
200,"5,000 flee plant fire",fear,100
201,Cher auction fetches double pre-sale estimates,joy,100
202,Stars scuffle on 'Grey's Anatomy',disgust,25
203,Probe under way in Yankee crash,sadness,100
204,Amish schoolhouse torn down,sadness,100
205,Warner will not run in '08,sadness,25
206,Reid land deal under scrutiny,surprise,25
207,"Flooding washes out road to Valdez, Alaska",sadness,100
208,Briton admits U.S. bomb plot role,sadness,25
209,Commentary: Minutemen have a right to be idiotic,anger,25
210,Madonna files adoption papers,joy,25
211,Gunmen kill 9 at Iraqi TV station,fear,100
212,Hastert sorry for scandal but not quitting,sadness,25
213,Ex-JonBenet suspect: Child porn case dropped,anger,25
214,"Waste plant fire forces 5,000 to evacuate",sadness,100
215,Toddler died from E. coli tainted spinach,sadness,100
216,Disturbing finds in child sex raids,disgust,100
217,Magazine lists women who had abortions,anger,100
218,"Pot smokers may avoid Alzheimer's, study says",surprise,100
219,Student starts white men's club on campus,sadness,25
220,Kentucky wants to ban alcohol inhalers,surprise,25
221,Peter Pan flies into chapter two,surprise,25
222,Teen repellent inventor wins infamous prize,joy,100
223,"Cher's dress, car, bed have new owners",joy,25
224,"Dow hits new record, eyes 12,000",joy,100
225,Ex-Virginia gov not running for president,surprise,25
226,Yankee pitcher's pilot log found,surprise,25
228,Dem leader's $1 million land deal under scrutiny,anger,25
229,"Dad locked up son, watched on TV, police say",sadness,25
230,Navarrette: Minutemen have a right to be idiotic,sadness,25
231,"Pit bulls jump miniature pony, leave her bloody",sadness,25
232,Alaska town cut off from rest of state by flood,fear,100
233,Trailblazing trio protects City by the Bay,joy,25
234,Madonna files adoption papers in Malawi,joy,100
235,'Dr. McDreamy' choked in 'Grey's' scuffle,sadness,100
236,"$10,000 poetry prize awarded",joy,100
237,Las Vegas honour for tiger pair,joy,100
238,UK characters boosting box office,joy,100
239,Cher items snapped up at auction,joy,25
240,Griffiths scorns Withnail 'play',disgust,25
241,Lily Allen wins web music award,joy,100
242,Costner appeals in casino wrangle,anger,100
243,Beyonce copyright claim rejected,anger,25
244,Cohn gunman jailed for 36 years,joy,25
245,Melua's deep sea gig sets record,joy,100
246,Sri Lanka clashes kill 129 troops,sadness,100
247,Gunmen kill 11 in Iraq TV raid,sadness,100
248,Italy drops Sicily bridge plans,surprise,100
249,Amish killings school demolished,sadness,100
250,Pamuk wins Nobel Literature prize,joy,100
251,Madonna adoption bid approved,joy,100
252,Man admits UK-US terror bomb plot,fear,100
253,Who are you calling fat?,disgust,25
500,Test to predict breast cancer relapse is approved,joy,100
501,"Two Hussein allies are hanged, Iraqi official says",sadness,100
502,Sights and sounds from CES,joy,25
503,Schuey sees Ferrari unveil new car,joy,100
504,Closings and cancellations top advice on flu outbreak,fear,25
505,Trucks swallowed in subway collapse,sadness,100
506,Sarkozy letter surprises French cartoons hearing,surprise,100
507,"Building a memorial to a son, one child at a time",sadness,25
508,Lawmaker seeks iPod ban in crosswalks in New York,surprise,100
509,Diabetic waits months for eyeglasses,sadness,100
510,Sudan tells United Nations envoy to leave in 72 hours,surprise,100
511,5000 years on but couple still hugging,surprise,100
512,Defense to challenge Russert's credibility,surprise,25
513,"Ozzy, a Hero for the hard-rocking masses",joy,25
514,CIA leak trial summary,surprise,25
515,Dance movie takes over No. 1,joy,100
516,Asian nations urge Myanmar reform,surprise,25
517,"After Iraq trip, Clinton proposes war limits",joy,100
518,7 dead in apartment building fire,sadness,100
519,Male sweat boosts women's hormone levels,surprise,100
520,Carphone Warehouse's mixed signals,surprise,25
521,Democrats plot Bush troop increase censure,surprise,25
522,Cisco sues Apple over iPhone name,anger,100
523,BB star Jackson denies Goody comments,disgust,25
524,Inter Milan set Serie A win record,joy,100
525,US Airways boosts bid for Delta,surprise,25
526,Press sees hope in Mecca talks,joy,100
527,Bears fan loses bet and changes name,surprise,25
528,Global National; Major child porn ring bust,disgust,100
529,'Human hair' clue in hunt for airliner,surprise,25
530,Johnny Depp to make movie of spy poisoning,joy,100
531,Really?: The claim: the pill can make you put on weight,surprise,100
532,5 money makeovers,joy,25
533,TBS to pay $2M fine for ad campaign bomb scare,fear,100
534,"""Stomp the Yard"" has winning moves in its weekend debut",joy,100
535,"Discovered boys bring shock, joy",surprise,100
536,Bernhard set to leave Volkswagen,sadness,100
537,Pacers' Jackson misses gun hearing,fear,25
538,Cases: when the simple solution is the right one,joy,25
539,Two Muslim groups sue French newspaper International,anger,100
540,Golden Globes on their way,joy,100
541,"At New OZZFEST, Freedom Ain't Free",surprise,25
542,Federer handed tough Aussie draw,sadness,25
543,Protesters end strike as Nepal PM concedes demands,joy,100
544,Turner pays for Boston "bombing",fear,25
545,Two detained in body parts mailing,disgust,100
546,Essay: about that mean streak of yours: psychiatry can do only so much,sadness,25
547,Hussein's niece pleads for father's life,sadness,100
548,Sarkozy heads for clash in cartoons row,anger,25
549,Global web of suspects in child-rape download,anger,100
550,Blake defeats Moya to retain title,joy,25
551,"Storms kill, knock out power, cancel flights",fear,100
552,Aquarium puts ailing beluga whale to sleep,sadness,100
553,"Microsoft, Sony, we have a problem",surprise,25
554,A police state? The issues,fear,100
555,Move to ban iPods from crossing the street,surprise,25
556,India's Taj Mahal gets facelift,joy,100
557,Cheney to Congress: Can't run Iraq war by committee,anger,100
558,Ganguly handed India squad call-up,joy,25
559,Fortune: Looking beyond the iPhone,joy,25
560,Really?: The claim: the back seat of a car is the safest place to sit,surprise,100
561,Vaccine mandate upsets legislators,anger,25
562,News analysis: Iranian boast is put to test,fear,25
563,Panel issues bleak report on climate change,fear,100
564,Virtual 'American Idol' hits right notes,joy,100
565,"Iraq car bombings kill 22 People, wound more than 60",sadness,100
566,'Stomp' steps to No. 1 at box office,joy,100
567,Google executive acts as goodwill envoy,joy,100
568,Filipino woman kidnapped in Nigeria,fear,100
569,"Seahawks, Bears vie for shot at NFL title",joy,25
570,Brown not buried as estate issues loom,sadness,100
571,Will Rob Cohen Direct Third 'Mummy'?,surprise,25
572,EU will urge China to go green,joy,25
573,17th-Century Remedy; 21st-Century Potency,surprise,25
574,Forecasters expect toasty 2007,fear,25
575,'Sunshine' Goydos wins Sony open,joy,100
576,Teacher charged with sex assault,disgust,100
577,Merck: Gardasil may fight more strains,joy,25
578,"Mountain glaciers melting faster, United Nations says",fear,100
579,Snow causes airport closures in Britain,sadness,25
580,Bananaconda inventor is top poet of kids,joy,100
581,Shareholders sue Apple,anger,100
582,Israelis retaliate after attack by Lebanese Army,fear,100
583,Deadly bird flu confirmed in British Turkeys,fear,100
584,Too little sleep may mean too fat kids,surprise,100
585,Bathing mom awakes to find baby dead,sadness,100
586,Visitors to Eiffel Tower climb to record in 2006,joy,100
587,"More sleep, healthier slimmer children",surprise,100
588,Queen battles Bond for Baftas,joy,25
589,"Walters on Trump: 'Poor, pathetic man'",sadness,25
590,"Ice storm smacks roads, power",fear,100
591,Iran says it will strike US interests if Attacked,fear,100
592,Palestinian factions to resume talks,joy,100
593,Study: men's sweat triggers high sexual arousal in women,surprise,100
594,Outcry at N Korea 'nuclear test',fear,100
595,Russia plans major military build-up,fear,100
596,Archaeologists find remains of couple locked in a hug,surprise,100
597,Stenson defends his title at Dubai,joy,100
598,Taking the plunge,fear,25
599,Updates on world's top stories,joy,25
600,Man rides stationary bike for 85 hours,surprise,100
601,Ice storm coating Midwest,fear,100
602,A Mistrial for Lieut. Watada,anger,25
603,Iran warns will hit back at US if attacked,fear,100
604,ASEAN talks end on energy-security,joy,25
605,"Iraqi death toll exceeded 34,000 in 2006, United Nations says",sadness,100
606,Israel intensifies military flights over Lebanon,fear,100
607,New gadgets galore at tech show,joy,100
608,Another death at Georgia Aquarium,sadness,100
609,US to urge Nato Afghan spring offensive,fear,100
610,UK letter bombs may be from extremist drivers,fear,100
611,Asia seeks breakthrough on North Korea,surprise,25
612,Federer overcomes a ragged start,joy,100
613,Rowdy fans ejected from the Open,anger,25
614,Terai protesters hail 'historic' victory over government,joy,25
615,Anger at release of two held over beheading plot,anger,100
616,Bush adamant on troops to Iraq,anger,100
617,Bebe Neuwirth gets to 'wiggle again',joy,100
618,Beckham to L.A.: For the game not fame,joy,25
619,Sleep more to fight childhood obesity,surprise,25
620,Abbas rejects temporary state,sadness,25
621,Investigation of child porn site hits 77 nations,disgust,100
622,Sleuths close in on Odysseus home,surprise,25
623,Variety: Johnny Depp to make movie of spy poisoning,surprise,25
624,Ice storm cripples central U.S.,fear,100
625,Park stars as United maintain lead,joy,100
626,Prehistoric Romeo and Juliet discovered,surprise,100
627,India's famous landmark gets facelift,joy,100
628,Joseph Wambaugh's new start,joy,25
629,Participant in water-drinking contest dies,sadness,100
630,Apple drops bombshell with iPhone,surprise,100
631,Bollywood's 'Brangelina' engaged,joy,100
632,"Shiite fighters arrested in crackdown, Iraq says",fear,100
633,"Rio De Janeiro journal: drawing lines across the sand, between classes",sadness,25
634,Models' health guidelines -- will they help?,surprise,25
635,Stepping back in time at ski resort,joy,25
636,Test cricketer jailed over killing,sadness,25
637,Walnuts 'combat unhealthy fats',joy,25
638,Apple to Vista upgraders: 'Wait',surprise,25
639,Injured Sarwan to miss one-dayers,sadness,100
640,Firms on alert for letter bombs,fear,100
641,Studios sign off on movie downloads,surprise,25
642,Asif returns with four-wicket haul,joy,100
643,"Bush authorized Iranians' arrest in Iraq, Rice says",anger,100
644,Porn ring scandal reaches Australia,disgust,100
645,Deputy health minister arrested in US-Iraqi raid,sadness,100
646,Senator Carl Krueger thinks iPods can kill you,surprise,100
647,"Finally, Senate okays anti-terror bill Manila",joy,100
648,Somalia declares state of emergency,fear,100
649,Matt shines with his Alpine finish,joy,100
650,BP CEO Browne to step down in June,sadness,25
651,An iPhone by any other name? Surely not,surprise,25
652,Life in Gaza steadily worsens,sadness,100
653,The energy challenge | Exotic visions: how to cool a planet (maybe),surprise,25
654,"Easy ways to (really) save $400,000",joy,100
655,Shareholders sue Apple,anger,25
656,Findings: Can humanity survive? Want to bet on it?,fear,100
657,Iran steps up production of weapons-grade uranium,fear,100
658,Rig-threat cargo ship towed ashore,fear,25
659,Palestinians say clashes hurt their cause,sadness,100
660,Male sweat can raise hormones,surprise,100
661,Vital Signs: Hazards: Antidepressant linked to fractures in older people,surprise,100
662,Peron held over '70s rights abuses,sadness,100
663,Space life search turns to TV,surprise,25
664,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",sadness,100
665,YouTube told to drop celeb sex video,surprise,25
666,Beckham& Posh and more athlete-celebrity couples,joy,100
667,City sets up ice storm shelters,fear,100
668,Libby prosecutors await judge's rulings,sadness,25
669,Review: 'Alpha Dog' misses the point,sadness,25
670,Republicans plan to block Iraq debate,anger,100
671,Mixed reaction to China's Africa push,surprise,25
672,Snowed in the Canadian Rockies,joy,25
